subscription_id,user_id,subscription_time,plan_name,amount
1,101,2020-05-03 09:00:00.000,Premium,999
2,102,2022-06-03 10:30:00.000,Basic,199
3,103,2024-07-04 12:00:00.000,Weekly,99
4,105,2023-04-04 11:00:00.000,Basic,199
5,106,2025-02-04 08:30:00.000,Weekly,99
6,107,2026-01-04 09:30:00.000,Weekly,99
7,108,2022-06-04 10:00:00.000,Premium,999
8,109,2022-03-28 13:30:00.000,Basic,199
9,110,2024-04-04 09:00:00.000,Premium,999
10,111,2026-04-04 10:00:00.000,Weekly,99
11,112,2025-04-04 14:00:00.000,Premium,999
12,113,2026-05-08 15:00:00.000,Weekly,99
13,114,2017-04-04 08:00:00.000,Premium,999
14,115,2025-03-04 10:30:00.000,Premium,999
15,116,2020-07-06 09:30:00.000,Weekly,99
16,117,2026-02-08 13:00:00.000,Basic,199
17,118,2024-07-02 15:30:00.000,Basic,199
